accuracy,loss,val_accuracy,val_loss
0.8405625224113464,0.44771191477775574,0.8848333358764648,0.31572645902633667
0.8884583115577698,0.30745795369148254,0.8966666460037231,0.2856900691986084
0.9017083048820496,0.26904532313346863,0.9036666750907898,0.26800307631492615
0.9121666550636292,0.23832669854164124,0.9104166626930237,0.25287550687789917
0.9189375042915344,0.2191963940858841,0.9089166522026062,0.25253838300704956
0.9243541955947876,0.20343346893787384,0.9123333096504211,0.2421155571937561
0.9312499761581421,0.18548569083213806,0.9150833487510681,0.24604341387748718
0.9362083077430725,0.1688404083251953,0.9169999957084656,0.2422492504119873
0.9401458501815796,0.15903446078300476,0.9124166369438171,0.2615019977092743
0.9438958168029785,0.15031303465366364,0.9166666865348816,0.2461426556110382
